transaction_id,customer_id,event_type,timestamp,properties,note
ac1-lm-001,35bc8d12-9d38-57ab-bc9b-bbd35d779a26,llm_request,2026-08-02T09:00:00+09:00,"{""input_tokens"": 101, ""output_tokens"": 51, ""model"": ""claude-sonnet-5""}",
ac1-lm-002,35bc8d12-9d38-57ab-bc9b-bbd35d779a26,llm_request,2026-08-03T10:00:00+09:00,"{""input_tokens"": 102, ""output_tokens"": 52, ""model"": ""claude-sonnet-5""}",
ac1-lm-003,35bc8d12-9d38-57ab-bc9b-bbd35d779a26,llm_request,2026-08-04T11:00:00+09:00,"{""input_tokens"": 103, ""output_tokens"": 53, ""model"": ""claude-sonnet-5""}",
ac1-lm-004,35bc8d12-9d38-57ab-bc9b-bbd35d779a26,llm_request,2026-08-05T12:00:00+09:00,"{""input_tokens"": 104, ""output_tokens"": 54, ""model"": ""claude-sonnet-5""}",
ac1-lm-005,35bc8d12-9d38-57ab-bc9b-bbd35d779a26,llm_request,2026-08-06T13:00:00+09:00,"{""input_tokens"": 105, ""output_tokens"": 55, ""model"": ""claude-sonnet-5""}",
ac1-lm-006,35bc8d12-9d38-57ab-bc9b-bbd35d779a26,llm_request,2026-08-07T14:00:00+09:00,"{""input_tokens"": 106, ""output_tokens"": 56, ""model"": ""claude-sonnet-5""}",
ac1-lm-007,35bc8d12-9d38-57ab-bc9b-bbd35d779a26,llm_request,2026-08-08T15:00:00+09:00,"{""input_tokens"": 107, ""output_tokens"": 57, ""model"": ""claude-sonnet-5""}",
ac1-lm-008,35bc8d12-9d38-57ab-bc9b-bbd35d779a26,llm_request,2026-08-09T16:00:00+09:00,"{""input_tokens"": 108, ""output_tokens"": 58, ""model"": ""claude-sonnet-5""}",
ac1-lm-009,35bc8d12-9d38-57ab-bc9b-bbd35d779a26,llm_request,2026-08-10T17:00:00+09:00,"{""input_tokens"": 109, ""output_tokens"": 59, ""model"": ""claude-sonnet-5""}",
ac1-lm-010,35bc8d12-9d38-57ab-bc9b-bbd35d779a26,llm_request,2026-08-11T18:00:00+09:00,"{""input_tokens"": 110, ""output_tokens"": 60, ""model"": ""claude-sonnet-5""}",
ac1-lm-011,35bc8d12-9d38-57ab-bc9b-bbd35d779a26,llm_request,2026-08-02T19:00:00+09:00,"{""input_tokens"": 111, ""output_tokens"": 61, ""model"": ""claude-sonnet-5""}",
ac1-lm-012,35bc8d12-9d38-57ab-bc9b-bbd35d779a26,llm_request,2026-08-03T20:00:00+09:00,"{""input_tokens"": 112, ""output_tokens"": 62, ""model"": ""claude-sonnet-5""}",
ac1-lm-013,35bc8d12-9d38-57ab-bc9b-bbd35d779a26,llm_request,2026-08-04T09:00:00+09:00,"{""input_tokens"": 113, ""output_tokens"": 63, ""model"": ""claude-sonnet-5""}",
ac1-lm-014,35bc8d12-9d38-57ab-bc9b-bbd35d779a26,llm_request,2026-08-05T10:00:00+09:00,"{""input_tokens"": 114, ""output_tokens"": 64, ""model"": ""claude-sonnet-5""}",
ac1-lm-015,35bc8d12-9d38-57ab-bc9b-bbd35d779a26,llm_request,2026-08-06T11:00:00+09:00,"{""input_tokens"": 115, ""output_tokens"": 65, ""model"": ""claude-sonnet-5""}",
